id,idade,sexo,estado_civil
768805383,45,M,casado
818770008,49,F,solteiro
713982108,51,M,casado
769911858,40,F,na
709106358,40,M,casado
713061558,44,M,casado
810347208,51,M,casado
818906208,32,M,na
710930508,37,M,solteiro
719661558,48,M,solteiro
708790833,42,M,na
710821833,65,M,casado
710599683,56,M,solteiro
816082233,35,M,na
712396908,57,F,casado
714885258,44,M,na
709967358,48,M,solteiro
753327333,41,M,casado
806160108,61,M,casado
709327383,45,F,casado
806165208,47,M,divorciado
708508758,62,F,casado
784725333,41,M,casado
811604133,47,F,solteiro
789124683,54,M,casado
771071958,41,F,solteiro
720466383,59,M,na
804424383,63,M,casado
718813833,44,F,solteiro
806624208,47,M,casado
778348233,53,M,casado
712991808,53,M,casado
709029408,41,M,casado
788658483,53,F,casado
787937058,58,M,casado
715318008,55,F,solteiro
713962233,55,F,casado
785432733,42,F,casado
715190283,57,F,na
708300483,66,F,casado
827111283,45,M,solteiro
758551608,51,M,casado
773146383,50,F,solteiro
778493808,49,M,casado
720572508,38,F,solteiro
712661433,49,M,solteiro
789172683,56,M,casado
738406533,59,M,casado
799723908,46,M,casado
771490833,52,M,solteiro
720756708,52,F,casado
779471883,54,F,casado
711525033,66,F,casado
712813458,49,M,casado
714374133,56,M,casado
717891558,49,F,na
716632758,49,F,solteiro
768563658,56,M,casado
711427458,44,F,casado
714091983,42,M,solteiro
787584108,55,M,casado
712030833,48,M,casado
711481533,39,M,divorciado
710082708,44,M,solteiro
708155733,53,M,solteiro
788979258,51,M,solteiro
807986133,57,M,casado
788730933,44,F,solteiro
711314058,49,M,casado
717975333,50,M,casado
715971108,51,M,solteiro
720096558,55,F,casado
719580033,54,M,na
820582308,42,M,casado
789973308,44,M,solteiro
712876233,53,M,solteiro
804595158,44,F,solteiro
714826758,37,F,solteiro
779058108,49,M,divorciado
710790258,47,M,casado
715623483,47,M,casado
715156383,44,M,na
711013983,55,F,casado
755420433,59,F,casado
794543958,53,M,divorciado
716396358,52,M,casado
715398033,53,M,solteiro
711743883,43,F,solteiro
719720058,44,M,solteiro
778992108,57,M,casado
717539808,51,F,solteiro
714070758,49,M,solteiro
714107958,45,M,solteiro
789140283,53,M,solteiro
715550508,45,F,casado
719712633,64,M,casado
772629333,45,M,casado
720336708,53,M,casado
802013583,56,M,casado
711887583,47,M,casado
714778833,49,F,solteiro
713843283,41,F,casado
779155158,53,M,casado
721091583,44,F,solteiro
713572683,44,M,na
716657058,43,F,casado
779509983,53,M,solteiro
717929133,44,M,casado
808284783,62,F,casado
708476808,54,M,divorciado
710916408,57,M,casado
708492558,42,M,casado
799825758,42,M,divorciado
718619883,54,F,casado
711844758,48,M,solteiro
714798783,49,M,solteiro
826762908,52,M,na
771894558,50,M,solteiro
721074183,49,M,casado
715259583,53,F,casado
718414008,50,M,solteiro
719666283,55,F,casado
714877233,53,M,casado
785387883,47,F,solteiro
771075258,55,M,solteiro
711318033,47,M,solteiro
783554958,58,M,solteiro
720201033,53,M,casado
718039683,52,M,solteiro
710806083,50,F,na
714752208,42,F,casado
822063408,43,M,casado
714490308,57,M,casado
713356833,52,M,casado
711402333,47,M,solteiro
708296883,44,F,solteiro
719154483,53,M,divorciado
717721458,45,M,divorciado
711112683,63,F,casado
715674483,39,F,solteiro
789322833,48,F,casado
789968058,51,M,solteiro
709919283,54,M,casado
718744008,59,F,solteiro
767712558,59,M,solteiro
712950783,48,F,casado
716104983,41,F,solteiro
818839983,55,M,casado
772288758,47,F,casado
712350858,41,M,casado
711009708,40,M,solteiro
712720158,68,M,casado
712215258,50,F,solteiro
773827008,47,M,solteiro
795232683,53,F,casado
713786508,42,F,casado
713539833,48,F,solteiro
712454058,49,M,casado
718759833,44,F,casado
718803333,43,F,divorciado
720253908,56,M,casado
714133158,59,F,solteiro
713187033,46,M,casado
714791208,47,F,divorciado
772426383,50,F,casado
710975883,51,F,casado
714264408,47,F,casado
715827858,58,F,casado
713741358,46,M,solteiro
709531908,53,M,casado
716493408,45,F,divorciado
714141108,52,F,casado
708953883,53,M,casado
712608783,50,M,casado
820353558,41,F,casado
714964758,45,F,divorciado
716264358,53,M,casado
717296808,67,F,casado
712977183,57,F,solteiro
710829108,59,F,casado
779562633,45,M,casado
715315833,51,M,casado
815500983,59,F,casado
719360583,53,M,casado
709701558,47,M,casado
721148358,49,F,solteiro
779862408,49,M,solteiro
812627208,60,F,solteiro
711033408,50,F,casado
779956608,41,F,casado
780376683,57,M,casado
717912483,43,M,na
714454758,57,F,casado
780466533,54,M,casado
715735233,51,F,casado
720476733,47,F,casado
715872333,41,M,na
712375758,53,M,casado
708868233,68,M,casado
718030083,59,M,casado
720707283,48,M,casado
771698658,44,M,casado
748326258,48,M,casado
770817783,47,M,casado
779353083,47,M,casado
711441333,43,F,divorciado
719808558,55,F,casado
711551958,59,M,casado
809164083,63,M,casado
820596183,58,M,casado
715999608,53,F,casado
710565408,59,M,na
805543158,52,M,casado
709752183,48,M,solteiro
716479233,43,M,casado
713837058,48,M,solteiro
718876683,43,F,solteiro
770746908,44,M,casado
794843883,41,M,casado
803043933,44,F,divorciado
